"ORIGIN","Frequency","Proportion"
"ABE",301,0.000820297596337276
"ABI",191,0.000520521066114351
"ABQ",960,0.00261623153649098
"ABR",60,0.000163514471030686
"ABY",90,0.000245271706546029
"ACK",11,2.99776530222925e-05
"ACT",90,0.000245271706546029
"ACV",68,0.000185316400501444
"ACY",163,0.000444214312966698
"ADK",7,1.90766882869134e-05
"ADQ",40,0.000109009647353791
"AEX",244,0.000664958848858124
"AGS",295,0.000803946149234207
"ALB",444,0.00121000708562708
"ALO",28,7.63067531476536e-05
"ALS",51,0.000138987300376083
"AMA",265,0.000722188913718864
"ANC",893,0.00243364037717338
"APN",52,0.000141712541559928
"ASE",568,0.00154793699242383
"ATL",22971,0.0626015152340982
"ATW",329,0.000896604349484929
"ATY",49,0.000133536818008394
"AUS",2654,0.00723279010192402
"AVL",476,0.00129721480351011
"AVP",108,0.000294326047855235
"AZA",438,0.00119365563852401
"AZO",121,0.000329754183245217
"BDL",1093,0.00297868861394233
"BET",47,0.000128086335640704
"BFF",53,0.000144437782743773
"BFL",176,0.00047964244835668
"BGM",31,8.44824766991879e-05
"BGR",133,0.000362457077451354
"BHM",896,0.00244181610072491
"BIL",363,0.000989262549735652
"BIS",335,0.000912955796587998
"BJI",60,0.000163514471030686
"BLI",45,0.000122635853273015
"BLV",72,0.000196217365236823
"BMI",169,0.000460565760069766
"BNA",4397,0.0119828854853655
"BOI",1394,0.00379898621027961
"BOS",4598,0.0125306589633183
"BPT",78,0.000212568812339892
"BQK",90,0.000245271706546029
"BRD",51,0.000138987300376083
"BRO",143,0.000389709489289802
"BRW",30,8.17572355153431e-05
"BTM",57,0.000155338747479152
"BTR",337,0.000918406278955688
"BTV",247,0.000673134572409658
"BUF",799,0.00217746770589197
"BUR",926,0.00252357333624026
"BWI",5050,0.0137624679784161
"BZN",611,0.00166512236332915
"CAE",353,0.000962010137897204
"CAK",138,0.000376083283370578
"CDB",16,4.36038589415163e-05
"CDC",53,0.000144437782743773
"CDV",54,0.000147163023927618
"CGI",52,0.000141712541559928
"CHA",399,0.00108737123235406
"CHO",118,0.000321578459693683
"CHS",1264,0.00344470485637979
"CID",493,0.00134354390363547
"CIU",60,0.000163514471030686
"CKB",62,0.000168964953398376
"CLE",2072,0.00564669973292636
"CLL",108,0.000294326047855235
"CLT",13517,0.0368370850820298
"CMH",1852,0.00504714667248051
"CMI",88,0.00023982122417834
"CMX",60,0.000163514471030686
"CNY",29,7.90319943314983e-05
"COD",47,0.000128086335640704
"COS",612,0.001667847604513
"COU",59,0.000160789229846841
"CPR",171,0.000466016242437456
"CRP",238,0.000648607401755055
"CRW",197,0.00053687251321742
"CSG",100,0.000272524118384477
"CVG",2104,0.0057339074508094
"CWA",114,0.000310677494958304
"CYS",31,8.44824766991879e-05
"DAB",270,0.000735815119638088
"DAL",3511,0.00956832179647899
"DAY",461,0.00125633618575244
"DCA",2608,0.00710742900746716
"DDC",53,0.000144437782743773
"DEC",53,0.000144437782743773
"DEN",17971,0.0489753093148744
"DFW",19468,0.05305499536709
"DHN",102,0.000277974600752167
"DIK",30,8.17572355153431e-05
"DLH",117,0.000318853218509838
"DRO",282,0.000768518013844225
"DSM",863,0.00235188314165804
"DTW",9326,0.0254155992805363
"DVL",52,0.000141712541559928
"EAR",58,0.000158063988662997
"EAU",60,0.000163514471030686
"ECP",503,0.00137079631547392
"EGE",303,0.000825748078704965
"EKO",56,0.000152613506295307
"ELM",77,0.000209843571156047
"ELP",788,0.00214749005286968
"ERI",59,0.000160789229846841
"ESC",52,0.000141712541559928
"EUG",450,0.00122635853273015
"EVV",212,0.000577751130975091
"EWN",98,0.000267073636016787
"EWR",5091,0.0138742028669537
"EYW",680,0.00185316400501444
"FAI",94,0.000256172671281408
"FAR",440,0.0011991061208917
"FAT",674,0.00183681255791138
"FAY",242,0.000659508366490434
"FCA",226,0.000615904507548918
"FLG",163,0.000444214312966698
"FLL",6072,0.0165476644683054
"FNT",190,0.000517795824930506
"FSD",503,0.00137079631547392
"FSM",88,0.00023982122417834
"FWA",394,0.00107374502643484
"GCC",55,0.000149888265111462
"GCK",57,0.000155338747479152
"GEG",1001,0.00272796642502862
"GFK",97,0.000264348394832943
"GGG",71,0.000193492124052979
"GJT",378,0.00103014116749332
"GNV",257,0.000700386984248106
"GPT",278,0.000757617049108846
"GRB",309,0.000842099525808034
"GRI",77,0.000209843571156047
"GRK",174,0.00047419196598899
"GRR",1022,0.00278519648988936
"GSO",438,0.00119365563852401
"GSP",766,0.00208753474682509
"GTF",207,0.000564124925055867
"GTR",87,0.000237095982994495
"GUC",82,0.000223469777075271
"GUM",44,0.00011991061208917
"HDN",243,0.000662233607674279
"HGR",14,3.81533765738268e-05
"HHH",167,0.000455115277702077
"HIB",51,0.000138987300376083
"HLN",105,0.000286150324303701
"HNL",2685,0.00731727257862321
"HOB",23,6.26805472284297e-05
"HOU",3306,0.00900964735379081
"HPN",274,0.000746716084373467
"HRL",201,0.000547773477952799
"HSV",424,0.00115550226195018
"HTS",36,9.81086826184117e-05
"HYS",53,0.000144437782743773
"IAD",3316,0.00903689976562926
"IAG",25,6.81310295961193e-05
"IAH",7572,0.0206355262440726
"ICT",600,0.00163514471030686
"IDA",226,0.000615904507548918
"ILM",349,0.000951109173161825
"IMT",61,0.000166239712214531
"IND",2073,0.00564942497411021
"INL",52,0.000141712541559928
"ISP",239,0.0006513326429389
"ITH",31,8.44824766991879e-05
"ITO",323,0.000880252902381861
"JAC",477,0.00129994004469396
"JAN",341,0.000929307243691067
"JAX",1351,0.00368180083937428
"JFK",3603,0.00981904398539271
"JLN",61,0.000166239712214531
"JMS",82,0.000223469777075271
"JNU",225,0.000613179266365073
"JST",47,0.000128086335640704
"KOA",831,0.002264675423775
"KTN",111,0.00030250177140677
"LAN",119,0.000324303700877528
"LAR",50,0.000136262059192239
"LAS",8456,0.0230446394505914
"LAW",52,0.000141712541559928
"LAX",9979,0.027195181773587
"LBB",397,0.00108192074998637
"LBE",64,0.000174415435766065
"LBF",52,0.000141712541559928
"LBL",53,0.000144437782743773
"LCH",11,2.99776530222925e-05
"LCK",74,0.000201667847604513
"LEX",497,0.00135444486837085
"LFT",236,0.000643156919387366
"LGA",3757,0.0102387311277048
"LGB",662,0.00180410966370524
"LIH",287,0.000782144219763449
"LIT",735,0.00200305227012591
"LNK",71,0.000193492124052979
"LRD",110,0.000299776530222925
"LSE",153,0.00041696190112825
"LWB",28,7.63067531476536e-05
"LWS",71,0.000193492124052979
"LYH",17,4.63291001253611e-05
"MAF",545,0.0014852564451954
"MBS",91,0.000247996947729874
"MCI",2229,0.00607456259878999
"MCO",8569,0.0233525917043658
"MDT",315,0.000858450972911103
"MDW",4109,0.0111980160244182
"MEI",53,0.000144437782743773
"MEM",1221,0.00332751948547446
"MFE",280,0.000763067531476536
"MFR",417,0.00113642557366327
"MGM",181,0.000493268654275903
"MHK",58,0.000158063988662997
"MHT",355,0.000967460620264893
"MIA",5128,0.013975036790756
"MKE",1314,0.00358096691557203
"MKG",56,0.000152613506295307
"MLB",202,0.000550498719136644
"MLI",208,0.000566850166239712
"MLU",200,0.000545048236768954
"MOB",219,0.000596827819262005
"MOT",224,0.000610454025181228
"MQT",113,0.000307952253774459
"MRY",197,0.00053687251321742
"MSN",591,0.00161061753965226
"MSO",281,0.00076579277266038
"MSP",8546,0.0232899111571374
"MSY",2153,0.00586744426881779
"MTJ",288,0.000784869460947294
"MYR",536,0.0014607292745408
"OAJ",205,0.000558674442688178
"OAK",2217,0.00604185970458386
"OGD",7,1.90766882869134e-05
"OGG",1461,0.00398157736959721
"OGS",52,0.000141712541559928
"OKC",1226,0.00334114569139369
"OMA",1310,0.00357006595083665
"OME",28,7.63067531476536e-05
"ONT",1309,0.0035673407096528
"ORD",12466,0.0339728565978089
"ORF",1106,0.00301411674933232
"OTH",10,2.72524118384477e-05
"OTZ",29,7.90319943314983e-05
"OWB",9,2.45271706546029e-05
"PAE",23,6.26805472284297e-05
"PAH",61,0.000166239712214531
"PBG",66,0.000179865918133755
"PBI",1601,0.00436311113533548
"PDX",2871,0.00782416743881834
"PGD",510,0.00138987300376083
"PHF",72,0.000196217365236823
"PHL",5419,0.0147680819752548
"PHX",10252,0.0279391726167766
"PIA",210,0.000572300648607402
"PIB",53,0.000144437782743773
"PIE",582,0.00158609036899766
"PIH",100,0.000272524118384477
"PIR",53,0.000144437782743773
"PIT",1904,0.00518885921404044
"PLN",53,0.000144437782743773
"PNS",753,0.00205210661143511
"PRC",63,0.000171690194582221
"PSC",292,0.000795770425682673
"PSG",52,0.000141712541559928
"PSM",22,5.99553060445849e-05
"PSP",1128,0.0030740720553769
"PUB",52,0.000141712541559928
"PVD",518,0.00141167493323159
"PVU",48,0.000130811576824549
"PWM",484,0.00131901673298087
"RAP",328,0.000893879108301085
"RDD",28,7.63067531476536e-05
"RDM",376,0.00102469068512563
"RDU",2352,0.0064097672644029
"RFD",66,0.000179865918133755
"RHI",60,0.000163514471030686
"RIC",885,0.00241183844770262
"RIW",43,0.000117185370905325
"RKS",45,0.000122635853273015
"RNO",1032,0.0028124489017278
"ROA",124,0.000337929906796752
"ROC",418,0.00113915081484711
"ROW",57,0.000155338747479152
"RST",233,0.000634981195835831
"RSW",3194,0.0087044203412002
"SAF",96,0.000261623153649098
"SAN",3756,0.010236005886521
"SAT",1624,0.00442579168256391
"SAV",863,0.00235188314165804
"SBA",250,0.000681310295961193
"SBN",449,0.0012236332915463
"SBP",307,0.000836649043440344
"SCC",41,0.000111734888537636
"SCE",47,0.000128086335640704
"SCK",31,8.44824766991879e-05
"SDF",1035,0.00282062462527934
"SEA",8556,0.0233171635689759
"SFB",692,0.00188586689922058
"SFO",6129,0.0167030032157846
"SGF",536,0.0014607292745408
"SGU",282,0.000768518013844225
"SHD",51,0.000138987300376083
"SHR",53,0.000144437782743773
"SHV",358,0.000975636343816428
"SIT",30,8.17572355153431e-05
"SJC",2098,0.00571755600370633
"SJT",121,0.000329754183245217
"SJU",2091,0.00569847931541941
"SLC",8686,0.0236714449228757
"SLN",53,0.000144437782743773
"SMF",2527,0.00688668447157573
"SMX",20,5.45048236768954e-05
"SNA",1780,0.00485092930724369
"SPI",11,2.99776530222925e-05
"SPN",13,3.5428135389982e-05
"SPS",83,0.000226195018259116
"SRQ",904,0.00246361803019567
"STC",13,3.5428135389982e-05
"STL",2898,0.00789774895078214
"STS",137,0.000373358042186734
"STT",444,0.00121000708562708
"STX",114,0.000310677494958304
"SUN",169,0.000460565760069766
"SUX",54,0.000147163023927618
"SWF",26,7.0856270779964e-05
"SWO",41,0.000111734888537636
"SYR",416,0.00113370033247942
"TLH",362,0.000986537308551807
"TOL",37,0.000100833923802256
"TPA",4729,0.0128876655584019
"TRI",164,0.000446939554150542
"TTN",83,0.000226195018259116
"TUL",849,0.00231372976508421
"TUS",1055,0.00287512944895623
"TVC",190,0.000517795824930506
"TWF",100,0.000272524118384477
"TXK",84,0.000228920259442961
"TYR",102,0.000277974600752167
"TYS",677,0.00184498828146291
"USA",81,0.000220744535891426
"VCT",51,0.000138987300376083
"VEL",49,0.000133536818008394
"VLD",91,0.000247996947729874
"VPS",564,0.00153703602768845
"WRG",54,0.000147163023927618
"XNA",515,0.00140349920968006
"XWA",57,0.000155338747479152
"YAK",52,0.000141712541559928
"YUM",154,0.000419687142312095
